trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
52,0.1778,0.6502496000175597,63274.0,94,plain,4,16,32,1.0875855381980918e-05,32,11,0.15948781514688065,SGD,16
53,0.6297,2.9470095999422483,81034.0,95,residual,2,32,32,0.003927960653222749,64,6,0.1210276357557502,Adam,32
54,0.485,1.4405988000507932,9890.0,96,depthwise_separable,4,8,160,0.0024234491447023164,32,7,0.49648239805965017,Adam,16
55,0.1933,1.1643921999857412,11138.0,97,depthwise_separable,3,8,224,1.0875855381980918e-05,64,5,0.15948781514688065,Adam,16
56,0.6066,2.478990599978715,315306.0,98,residual,2,64,32,0.0021450664374153845,64,6,0.3212096391031578,Adam,16
57,0.6871,3.045998199886526,388810.0,99,plain,3,64,64,0.00044279363365000874,64,12,0.11862454374840004,Adam,32
58,0.6415,1.5198691999466973,24250.0,100,residual,2,16,96,0.0053063715752208465,32,11,0.4609371175115584,Adam,32
59,0.6401,1.5342844000988407,173242.0,101,residual,4,16,224,0.009365164840715298,64,10,0.2777158528013137,Adam,16
60,0.5484,1.0921742000355152,5634.0,102,depthwise_separable,3,8,96,0.0053063715752208465,64,15,0.1210276357557502,Adam,16
61,0.5595,0.4578167999716243,33994.0,103,plain,2,32,192,0.008105016126411584,32,11,0.3212096391031578,Adam,16
62,0.55,2.054292800130497,85242.0,104,residual,3,16,96,0.0020736445177905022,64,10,0.2507581473435998,SGD,32
63,0.5767,0.6905390000392799,98154.0,105,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
64,0.4566,1.2539019999894663,2882.0,106,depthwise_separable,3,8,32,0.0053063715752208465,64,8,0.15948781514688065,Adam,16
65,0.4399,0.49103920005290996,3474.0,107,depthwise_separable,1,8,160,0.008105016126411584,32,11,0.2611216300274022,Adam,16
66,0.6004,1.350166200005333,120394.0,108,plain,3,32,192,0.0003231534343074978,16,5,0.49648239805965017,Adam,32
67,0.5169,1.1597649999166606,7290.0,109,depthwise_separable,2,16,128,0.0020736445177905022,64,10,0.46537866280178236,Adam,32
