trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
116,158,8.890,0.706900,0.233738,4762,plain,2,8,128,0.001658280843800234,128,6,0.15856944641135767,SGD,28
117,159,13.985,0.903500,1.958315,20826,plain,4,8,128,0.002347055463794754,128,7,0.21474688664996386,Adam,28
118,160,17.115,0.902400,1.778547,18074,plain,4,8,64,0.0024315357238851466,64,5,0.3362454049708012,Adam,28
119,161,12.490,0.714500,0.173817,3658,plain,1,16,128,0.004956483668314242,128,9,0.0933217596405917,Adam,28
120,162,19.882,0.860400,0.220283,15914,plain,2,16,256,0.005455827582985964,64,8,0.0653839575144674,SGD,16
121,163,19.099,0.891200,1.389956,79786,plain,4,16,256,0.004624876616141953,128,10,0.3176931963855216,SGD,16
122,164,14.156,0.643200,0.173047,3658,plain,1,16,128,0.00462415353021136,64,6,0.43288488285157145,SGD,28
123,165,7.504,0.720000,0.158700,4970,plain,1,8,256,0.006549983554940179,256,5,0.3297113173459509,Adam,16
124,166,10.444,0.875200,1.589407,18074,plain,4,8,64,0.003022105770587287,256,7,0.44436605228906695,Adam,16
125,167,18.308,0.918200,1.698783,276554,plain,4,32,256,0.005430365520453918,64,5,0.14040621264049907,Adam,28
126,168,23.489,0.805800,0.753958,8218,plain,2,8,256,0.007356972091772934,64,8,0.46270419579344274,SGD,28
127,169,8.205,0.836500,0.958790,15914,plain,2,16,256,0.0054815926721780844,128,5,0.020647818690479713,SGD,16
128,170,18.343,0.590700,0.166358,2538,plain,1,8,128,0.0009154107680191394,64,8,0.15723497003828416,SGD,28
129,171,8.858,0.868100,1.075362,38218,plain,2,32,256,0.004440380401791271,128,5,0.41490051188507754,Adam,16
130,172,20.486,0.674700,0.661297,11402,plain,1,32,256,0.0029430016400891694,64,9,0.14061689191950416,SGD,28
131,173,21.970,0.729400,0.158009,3146,plain,1,32,64,0.005552981236547238,64,9,0.16385124954541694,Adam,28
132,174,14.724,0.659100,0.163722,2538,plain,1,8,128,0.004755846461119075,64,6,0.06631510233730538,Adam,28
133,175,8.805,0.691000,0.189698,11402,plain,1,32,256,0.0041017885032888736,128,6,0.4687901848161629,Adam,28
134,176,19.295,0.657200,0.161396,1322,plain,1,8,64,0.0050113231624828985,64,8,0.48607208013465975,Adam,28
135,177,12.213,0.665500,0.830898,10410,plain,2,16,128,0.000515298223346328,128,8,0.1799905943162303,SGD,28
136,178,17.556,0.737700,0.159989,1930,plain,1,16,64,0.002592481117523048,64,7,0.08350638664251364,Adam,16
137,179,17.639,0.892700,1.181781,18074,plain,4,8,64,0.0013278390253861766,64,5,0.4956321848914084,Adam,28
138,180,11.069,0.709900,0.122421,2538,plain,1,8,128,0.001621105072545682,128,7,0.011578195033355887,Adam,16
