trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
20,62,37.973,0.747000,0.500294,28618,plain,2,32,128,0.003936131760215449,64,5,0.33104586592241475,Adam,16
21,63,53.224,0.856400,0.691835,70186,plain,4,16,128,0.0011402477993099614,16,6,0.14469643308342145,Adam,16
22,64,62.320,0.849400,0.776212,258762,plain,4,32,128,0.004076845951085614,16,7,0.11696974293267037,Adam,16
23,65,68.441,0.862300,0.699438,20826,plain,4,8,128,0.009675422227017758,16,8,0.2001420524037974,Adam,28
24,66,61.113,0.399200,0.479203,5898,plain,1,32,128,0.0015156502994592268,64,9,0.30595875443221904,SGD,28
25,67,55.644,0.695300,0.290131,5898,plain,1,32,128,0.007283091306641691,64,8,0.020999429758360888,Adam,16
26,68,56.014,0.861800,0.847448,70186,plain,4,16,128,0.007141316051707513,64,8,0.10640211804096854,SGD,28
27,69,39.873,0.619000,0.292492,3658,plain,1,16,128,0.004672542827233071,16,5,0.3820906617768066,SGD,16
28,70,60.411,0.700900,0.453089,4762,plain,2,8,128,0.007779286233544142,64,9,0.2826180532405944,SGD,28
29,71,66.319,0.561600,0.358901,3658,plain,1,16,128,0.006833659042892122,64,9,0.188436281774428,SGD,28
30,72,42.041,0.510300,0.283196,2538,plain,1,8,128,0.006795126312963431,16,5,0.39186149599421066,SGD,28
31,73,47.409,0.852000,0.878908,258762,plain,4,32,128,0.003551714421617385,16,5,0.34974395170741107,SGD,16
32,74,58.113,0.826000,0.636664,20826,plain,4,8,128,0.0018050340509079583,64,8,0.14069194601099827,SGD,16
33,75,56.055,0.466700,0.294051,2538,plain,1,8,128,0.0032649953278001383,64,8,0.430820983873422,SGD,28
34,76,62.010,0.853200,0.635318,20826,plain,4,8,128,0.0019901424177367322,16,7,0.010697641649438955,SGD,16
35,77,54.504,0.816100,0.632051,28618,plain,2,32,128,0.002058480555640361,16,6,0.27851607617063917,Adam,16
36,78,50.589,0.868000,0.774968,258762,plain,4,32,128,0.0015820682131880758,16,5,0.15286526740010337,SGD,16
37,79,59.464,0.753200,0.479178,10410,plain,2,16,128,0.008929337713887703,64,9,0.2800123472951921,SGD,28
38,80,59.662,0.725700,0.497331,10410,plain,2,16,128,0.009107561129267793,64,9,0.3099462228787944,Adam,28
39,81,59.738,0.680200,0.256730,3658,plain,1,16,128,0.007583296523452885,64,9,0.2886188756307776,Adam,16
40,82,76.228,0.869400,0.847338,258762,plain,4,32,128,0.001954440691441156,16,9,0.2767897003289979,Adam,16
41,83,60.451,0.776600,0.671805,28618,plain,2,32,128,0.006831994472908769,64,9,0.38903585527249723,Adam,28
42,84,65.716,0.612900,0.272660,2538,plain,1,8,128,0.0032649953278001383,16,9,0.430820983873422,Adam,28
43,85,64.853,0.640700,0.322349,3658,plain,1,16,128,0.009707273263705084,16,9,0.3334261339024558,Adam,28
44,86,48.782,0.874500,1.198572,258762,plain,4,32,128,0.001302682252750109,16,5,0.2618000268969034,Adam,28
45,87,51.532,0.420300,0.304632,3658,plain,1,16,128,0.0015153224062727203,64,7,0.03308968773831958,SGD,16
46,88,49.831,0.656100,0.264233,2538,plain,1,8,128,0.007860415277873163,16,6,0.3444939741956642,Adam,16
47,89,69.863,0.660600,0.301659,5898,plain,1,32,128,0.004672542827233071,16,9,0.2796035803727068,SGD,16
48,90,62.216,0.640000,0.266915,2538,plain,1,8,128,0.007743887859132244,16,8,0.004859096464726154,SGD,16
49,91,43.027,0.805300,0.513261,28618,plain,2,32,128,0.006965544519038048,16,5,0.42278795882834724,SGD,16
50,92,51.121,0.821900,0.495558,28618,plain,2,32,128,0.0012878620067488407,16,6,0.14469643308342145,Adam,16
51,93,41.291,0.545400,0.271431,3658,plain,1,16,128,0.004672542827233071,16,5,0.27804192907907604,SGD,16
52,94,70.541,0.870900,0.849545,258762,plain,4,32,128,0.008929337713887703,16,8,0.2800123472951921,SGD,16
53,95,57.568,0.780500,0.506473,28618,plain,2,32,128,0.0035232792180105964,64,8,0.02915137084453301,SGD,16
54,96,45.581,0.835300,0.703525,70186,plain,4,16,128,0.0023161144427074547,64,6,0.16351292816798774,SGD,16
55,97,47.171,0.868400,0.865662,70186,plain,4,16,128,0.0038288216197669466,16,5,0.15286526740010337,SGD,28
56,98,64.180,0.746900,0.592082,28618,plain,2,32,128,0.001977366169921904,64,9,0.28263529147649596,SGD,16
57,99,57.443,0.848000,0.680039,20826,plain,4,8,128,0.006013424555276502,64,8,0.11887110596848048,Adam,16
58,100,64.439,0.815400,0.506050,28618,plain,2,32,128,0.007325254583276328,64,9,0.3054797009621169,Adam,16
59,101,78.637,0.849900,0.740707,20826,plain,4,8,128,0.009917965953755482,16,9,0.14603358350702544,Adam,28
60,102,39.057,0.839500,0.861563,258762,plain,4,32,128,0.008932858988553822,64,5,0.25109884541572264,SGD,16
61,103,62.325,0.485500,0.298366,3658,plain,1,16,128,0.0018768322682542,64,9,0.32150951305108383,SGD,16
62,104,73.288,0.786700,0.655489,28618,plain,2,32,128,0.00785271076563704,16,9,0.2827332218691639,SGD,28
63,105,55.678,0.630700,0.268364,2538,plain,1,8,128,0.0019901424177367322,16,7,0.020549662241155123,SGD,16
64,106,62.542,0.595300,0.418306,5898,plain,1,32,128,0.005728535454917658,64,9,0.2826180532405944,Adam,28
65,107,48.599,0.587500,0.306941,2538,plain,1,8,128,0.007547462908481524,16,6,0.3371384071577496,Adam,28
66,108,45.179,0.868400,1.176411,258762,plain,4,32,128,0.0019647268452673517,64,6,0.14469643308342145,Adam,28
67,109,55.442,0.832400,0.651477,20826,plain,4,8,128,0.009726221979400786,16,6,0.2029143694962904,Adam,16
68,110,64.261,0.819300,0.454991,10410,plain,2,16,128,0.007743887859132244,16,8,0.004859096464726154,SGD,16
69,111,47.798,0.862000,0.855162,258762,plain,4,32,128,0.001307915838301362,16,5,0.1467968788833418,Adam,16
70,112,70.597,0.861100,0.849968,258762,plain,4,32,128,0.0015820682131880758,16,8,0.1427432068110035,SGD,16
71,113,72.517,0.877800,1.166166,258762,plain,4,32,128,0.007141316051707513,16,8,0.13509717061465876,Adam,28
72,114,48.525,0.867000,0.875013,258762,plain,4,32,128,0.0011210084212101244,16,5,0.2618000268969034,Adam,16
73,115,70.930,0.860500,0.864212,258762,plain,4,32,128,0.007313173902526551,16,8,0.07891956969549917,SGD,16
74,116,71.268,0.846800,0.651364,20826,plain,4,8,128,0.009863038731659448,16,8,0.015141432579667602,Adam,16
75,117,49.031,0.600700,0.442464,2538,plain,1,8,128,0.0009315853421128292,16,6,0.15226932866972176,Adam,16
76,118,40.838,0.527900,0.347699,3658,plain,1,16,128,0.002500371909134504,16,5,0.1470980570027834,SGD,28
77,119,70.638,0.856000,0.658537,20826,plain,4,8,128,0.0021666439887814805,16,8,0.2518228840233986,Adam,16
78,120,62.402,0.609800,0.317817,3658,plain,1,16,128,0.007583296523452885,64,9,0.2886188756307776,Adam,28
79,121,63.858,0.777400,0.457112,10410,plain,2,16,128,0.001954440691441156,64,9,0.28692846519896453,Adam,16
