trial_number,accuracy,inference_ms,param_count,seed,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
42,0.8235,1.5121646000152396,9618.0,84,depthwise_separable,3,8,192,0.0024234491447023164,64,7,0.49648239805965017,Adam,16
43,0.8222,2.8898488000122597,45514.0,85,depthwise_separable,4,32,96,0.00020745039310086563,32,13,0.34236558627693964,SGD,32
44,0.6575,1.7793076000125438,11322.0,86,depthwise_separable,3,16,96,0.00020745039310086563,64,14,0.347987103046849,SGD,32
45,0.72,7.409915999978693,1272234.0,87,residual,3,64,160,3.0750403441204654e-05,64,10,0.2507581473435998,SGD,32
46,0.8515,1.314942200016958,80458.0,88,residual,2,32,32,0.0003231534343074978,64,5,0.15948781514688065,Adam,16
47,0.7191,1.432308200008265,79338.0,89,plain,2,64,32,2.6851901546478057e-05,16,12,0.35048456572956,Adam,32
48,0.6736,1.1713597999878402,2874.0,90,depthwise_separable,2,16,32,0.0006647135865318024,64,15,0.40419867405823057,SGD,16
49,0.898,1.8188289999779954,42242.0,91,residual,4,8,64,0.008105016126411584,32,11,0.4609371175115584,Adam,32
50,0.8282,0.5482523999562545,21418.0,92,plain,2,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
51,0.9044,1.9372851999141858,87354.0,93,residual,3,16,128,0.008105016126411584,16,11,0.3212096391031578,Adam,32
52,0.8383,0.5269770000013523,7386.0,94,plain,3,8,32,0.0007730292273498736,64,7,0.35048456572956,Adam,16
53,0.8483,1.5309781999822007,21122.0,95,residual,3,8,32,0.003927960653222749,32,6,0.43573029509385885,SGD,32
54,0.8497,1.8799074000198743,40554.0,96,depthwise_separable,3,32,192,0.0003231534343074978,64,5,0.15948781514688065,Adam,16
55,0.6845,0.48153559998536366,21418.0,97,plain,2,32,32,0.0007730292273498736,64,5,0.35048456572956,SGD,16
56,0.8787,2.3443909999987227,23578.0,98,depthwise_separable,4,16,192,0.008105016126411584,32,11,0.4609371175115584,SGD,32
57,0.7873,1.3474226000180352,83786.0,99,plain,2,64,64,0.00044279363365000874,64,12,0.11862454374840004,Adam,32
58,0.6802,0.5854677999595879,25930.0,100,plain,3,16,32,7.40038575908737e-05,64,15,0.40419867405823057,SGD,16
59,0.5573,1.220230399951106,21122.0,101,residual,3,8,32,1.0875855381980918e-05,64,5,0.2777158528013137,Adam,16
60,0.6371,1.2924553999691852,80458.0,102,residual,2,32,32,7.40038575908737e-05,64,11,0.43573029509385885,SGD,16
61,0.8688,0.7187549999071052,62986.0,103,plain,4,16,32,0.0021450664374153845,64,6,0.4609371175115584,Adam,16
62,0.5191,0.3351169999259582,3146.0,104,plain,1,8,160,0.002679683279831466,64,6,0.2611216300274022,SGD,32
63,0.8599,0.6695296000143571,97578.0,105,plain,3,32,32,0.0053063715752208465,64,5,0.1210276357557502,SGD,16
64,0.6522,0.4527656000027491,21418.0,106,plain,2,32,32,0.00020745039310086563,32,7,0.35048456572956,SGD,16
65,0.7818,1.1448520000158169,2290.0,107,depthwise_separable,2,8,64,0.0024234491447023164,64,7,0.020364401159485068,Adam,16
66,0.893,1.3193347999913385,267658.0,108,plain,4,32,192,0.0003231534343074978,16,5,0.4609371175115584,Adam,32
67,0.8452,0.8652392000512918,10306.0,109,residual,2,8,192,0.002679683279831466,64,10,0.3137790400420317,SGD,16
68,0.8285,1.2335644000158936,6922.0,110,depthwise_separable,2,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
69,0.8162,1.060070800005633,106474.0,111,plain,3,32,96,0.002679683279831466,64,5,0.3137790400420317,SGD,32
70,0.6022,0.40976739995676326,6282.0,112,plain,2,16,32,0.0006647135865318024,64,5,0.40419867405823057,SGD,16
71,0.8135,1.0467731999524403,5986.0,113,residual,2,8,32,0.0003231534343074978,32,5,0.15948781514688065,Adam,16
72,0.8119,1.0943021999992197,5986.0,114,residual,2,8,32,0.0003231534343074978,64,10,0.15948781514688065,Adam,32
73,0.8386,0.5338951999910932,8762.0,115,plain,3,8,64,0.0007730292273498736,64,12,0.11862454374840004,SGD,16
74,0.6074,0.3257161999899836,1770.0,116,plain,1,32,32,0.0007730292273498736,16,5,0.35048456572956,Adam,16
75,0.6083,0.2994785999908345,1322.0,117,plain,1,8,64,0.00044279363365000874,16,12,0.11862454374840004,Adam,32
76,0.8703,0.7845022000510653,35530.0,118,plain,3,16,160,0.008105016126411584,64,11,0.3212096391031578,SGD,32
